id,first_name,last_name,patronymic,date_of_birth
,Опанас,Байдак,Леонтійович,1986-08-30
,Ярина,Іваничук,Соломонівна,1968-01-25
,Зорян,Рудик,Германівна,1932-04-26
,Альбіна,Лукаш,Леопольдівна,1943-05-19
,Євген,Скоробогатько,Гордійович,1967-04-04
,Варвара,Конопля,Тарасівна,1999-03-28
,Олена,Фартушняк,Арсенівна,1995-02-13
,Мирослав,Корбут,Демидівна,2009-10-24
,Іван,Іванченко,Михайлівна,1997-12-10
,Анастасія,Безбородько,Болеславівна,1998-12-16
,Онисим,Яковенко,Орестівна,1952-10-27
,Маруся,Каденюк,Остапівна,1949-09-20
,Олекса,Якимчук,Богодарівна,2023-12-11
,Нестор,Носенко,Ярославович,2012-10-15
,Богуслав,Дубенко,Владиславівна,1997-01-14
,Олександр,Деркач,Володимирівна,2004-06-21
,Богуслава,Андрієвич,Алевтинівна,1961-11-20
,Лілія,Адамчук,Остапівна,1947-09-10
,Варвара,Бабій,Артемівна,1977-11-14
,Володимир,Чумаченко,Орестович,1963-09-19
,Назар,Єсипенко,Геннадіївна,1984-06-30
,Алла,Бабій,Охрімівна,1935-03-04
,Станіслав,Дрозденко,Дмитріївна,1939-04-30
,Єлисавета,Твердохліб,Валеріївна,1980-07-10
,Федір,Тригуб,Варфоломіївна,1992-05-05
,Олександр,Ющенко,Назарівна,1940-12-14
,Алла,Ґереґа,Глібівна,2007-03-13
,Аарон,Цушко,Зорянівна,2014-07-02
,Анастасія,Бабʼюк,Леопольдівна,1946-04-10
,Орися,Штепа,Захарівна,1970-04-12
,Данна,Захарченко,Назарівна,1954-09-20
,Марія,Чайка,Віталіївна,1980-06-29
,Світлана,Сірко,Адамівна,2013-11-08
,Зорян,Рак,Богданович,1979-07-24
,Орхип,Пустовіт,Федорівна,2023-10-29
,Роман,Андрейко,Тимофійович,1937-02-28
,Кирило,Бабій,Андрійович,1988-12-28
,Ігор,Їжакевич,Романівна,1966-02-16
,Григорій,Яремко,Ігорович,2002-03-09
,Максим,Андрійчук,Дмитріївна,1956-06-03
,Вікторія,Вітер,Лукʼянівна,1946-12-04
,Святослава,Сірченко,Мирославівна,1938-03-18
,Макар,Ісаєвич,Захарович,2022-04-25
,Еріка,Оберемко,Романівна,2022-05-25
,Яків,Шухевич,Ааронович,1927-07-27
,Тереза,Павлик,Борисівна,1988-10-14
,Михайлина,Верховинець,Максимівна,1936-10-30
,Павло,Андрієнко,Августинович,2014-07-31
,Максим,Засенко,Прохорович,1975-02-06
,Леонтій,Шовкопляс,Ростиславівна,1994-01-30
,Демʼян,Гаврилець,Спасівна,2011-03-19
,Орина,Теличенко,Сергіївна,2008-11-03
,Йосип,Дутка,Прохорівна,1983-05-22
,Амалія,Каденюк,Ярославівна,1982-04-05
,Ірена,Шведченко,Данилівна,1972-02-05
,Любов,Червоненко,Ааронівна,2017-03-22
,Марта,Адаменко,Артемівна,1937-01-23
,Петро,Бандура,Євгенійович,2010-01-27
,Вадим,Баштан,Мартинович,1934-03-20
,Демид,Шамрай,Давидівна,1962-03-04
,Марко,Худяк,Арсенівна,1949-07-28
,Ганна,Тимченко,Максимівна,1951-08-26
,Роман,Ященко,Іванівна,2008-12-20
,Марія,Ільєнко,Остапівна,1928-06-30
,Оксана,Корсун,Бориславівна,2015-02-07
,Михайлина,Андрейко,Климентівна,1970-07-13
,Вадим,Фесенко,Артемівна,1991-04-28
,Гліб,Чумаченко,Максимівна,2013-09-11
,Богуслав,Канівець,Зорянівна,2010-07-04
,Костянтин,Сірко,Ігорівна,1942-07-27
,Устим,Мірошниченко,Олегівна,1995-07-31
,Роман,Корж,Валеріївна,1986-05-30
,Еріка,Жадан,Амвросійовна,1926-01-31
,Юстим,Терещенко,Владиславович,1951-03-05
,Наталія,Гоголь-Яновська,Юхимівна,1991-09-29
,Василь,Худяк,Григорійович,2004-03-31
,Венедикт,Бандура,Пантелеймонович,1959-08-23
,Арсен,Матяш,Веніяминович,1950-04-06
,Златослава,Данченко,Охрімівна,1959-08-30
,Дан,Батуринець,Августинівна,2016-01-24
,Симон,Гайда,Спасівна,1937-07-02
,Мирослав,Шеремет,Омелянівна,1972-01-24
,Кирило,Фастенко,Макарівна,1986-09-09
,Володимира,Даниленко,Лесівна,1945-08-31
,Роксолана,Дашенко,Артемівна,1959-10-27
,Зорян,Скирда,Венедиктівна,1931-04-14
,Роксолана,Дубенко,Назарівна,1928-10-30
,Олександр,Дергач,Леонідович,1953-06-28
,Ярослава,Зубко,Гордіївна,1947-08-31
,Амалія,Бандура,Іванівна,1985-07-02
,Леонтій,Голик,Володимирівна,2011-11-12
,Євген,Лесик,Арсенович,1956-04-26
,Михайлина,Стельмах,Алевтинівна,1998-10-13
,Валентина,Гречаник,Арсенівна,2011-09-12
,Едита,Носенко,Богуславівна,1931-12-30
,Людмила,Гайденко,Яремівна,1955-01-28
,Захар,Баранець,Мартинівна,2002-06-25
,Орися,Ватаманюк,Бориславівна,1976-04-29
,Святослава,Аронець,Марківна,1928-01-24
,Ігор,Христенко,Пантелеймонович,2006-10-06
,Дарина,Батуринець,Макарівна,2022-04-12
,Орест,Рябовіл,Панасович,1990-05-14
,Тарас,Шахрай,Васильівна,2003-09-19
,Болеслав,Ющенко,Борисівна,1975-08-07
,Ольга,Онищенко,Омелянівна,1960-10-25
,Орина,Базавлученко,Єлисеївна,1945-11-18
,Максим,Закусило,Антонівна,1959-10-02
,Орина,Петренко,Дмитріївна,1961-06-13
,Леопольд,Корж,Володимирівна,2001-01-27
,Наталія,Забарний,Пилипівна,1979-08-26
,Одарка,Симоненко,Леонідівна,1999-08-25
,Олекса,Худяк,Панасович,1930-11-30
,Галина,Венгринович,Федорівна,1975-06-29
,Євген,Абрагамовська,Захарович,1935-01-15
,Марта,Даниленко,Симонівна,1961-01-22
,Онисим,Єфименко,Вікторович,1975-08-30
,Гордій,Лемешко,Леонідович,1945-06-12
,Назар,Онищенко,Іванович,1993-07-15
,Ірена,Пилипенко,Макарівна,1961-09-27
,Роксолана,Шаблій,Симонівна,2009-11-24
,Тетяна,Бакуменко,Мартинівна,1978-04-25
,Оксана,Жук,Станіславівна,2012-11-06
,Амалія,Алексюк,Стефанівна,1929-01-30
,Петро,Коваленко,Леопольдівна,1988-02-17
,Клавдія,Ребрик,Захарівна,1994-06-03
,Олена,Баклан,Феофанівна,1994-08-20
,Андрій,Овчаренко,Михайлович,1970-04-10
,Богуслава,Карпенко,Альбертівна,2001-12-11
,Климент,Стельмах,Ігорівна,1962-10-05
,Леопольд,Лаба,Георгійович,2020-04-28
,Мирон,Давимука,Леонідович,1951-11-11
,Миколай,Кабалюк,Пилипівна,1990-05-26
,Хома,Дашкевич,Богодарівна,2007-11-30
,Феофан,Чорновіл,Аврелійович,1939-03-09
,Василь,Артеменко,Ааронівна,1940-12-21
,Григорій,Ірванець,Яремівна,2021-09-04
,Одарка,Андрійчук,Гордіївна,1970-11-13
,Аліна,Андрійчук,Богуславівна,1943-08-17
,Руслан,Яремків,Борисівна,1930-06-05
,Аркадій,Сомко,Ростиславівна,1935-11-17
,Ганна,Каденюк,Стефанівна,1986-11-29
,Лариса,Адаменко,Варфоломіївна,1930-11-13
,Марʼяна,Заєць,Іллівна,1931-02-04
,Станіслав,Єсипенко,Панасович,1998-08-10
,Пантелеймон,Москаль,Францівна,1973-05-13
,Любов,Жаліло,Омелянівна,1948-09-23
,Мілена,Шахрай,Богодарівна,1965-06-24
,Олекса,Єрьоменко,Леонтійович,1969-09-01
,Оксана,Ірванець,Степанівна,1987-05-14
,Світлана,Василашко,Панасівна,2007-03-14
,Єлисавета,Власюк,Макарівна,1953-05-22
,Ірина,Худобʼяк,Аврелійовна,2000-02-05
,Мілена,Овсієнко,Демидівна,1949-03-04
,Леонтій,Балабан,Леонідович,1949-12-16
,Єва,Тарасенко,Германівна,1947-07-31
,Симон,Данькевич,Азарівна,2004-07-03
,Георгій,Вітрук,Едуардович,1932-03-26
,Мартин,Ільєнко,Артемович,1985-03-27
,Роксолана,Гайденко,Охрімівна,1933-06-04
,Еріка,Єфименко,Владиславівна,1941-10-01
,Аврелій,Засядько,Вадимівна,1945-12-11
,Назар,Акуленко,Ааронович,2020-04-12
,Павло,Гайдамака,Валерійович,1990-11-10
,Богуслава,Іщак,Назарівна,1980-08-30
,Володимира,Голобородько,Іванівна,1984-02-24
,Климент,Петлюра,Петрович,1998-02-03
,Ліза,Ґерета,Симонівна,1941-02-03
,Пріска,Устенко,Мартинівна,1930-07-03
,Богданна,Зайченко,Варфоломіївна,1957-05-27
,Алевтин,Андрейко,Спасівна,1974-04-08
,Клавдія,Саченко,Несторівна,1997-06-11
,Венедикт,Зайченко,Назарович,1939-09-16
,Борис,Ребрик,Августинівна,1927-06-20
,Єлисей,Корсун,Веніяминович,1950-04-09
,Ігнат,Деревʼянко,Григорійович,2019-02-15
,Демид,Полтавець,Богуславівна,1965-11-06
,Одарка,Лавренко,Степанівна,1962-11-11
,Надія,Гаєвська,Вадимівна,1987-04-14
,Ігор,Тихий,Аркадіївна,1939-07-26
,Костянтин,Фартушняк,Симонович,1962-12-22
,Ада,Тичина,Володимирівна,2007-07-21
,Леон,Ємець,Степанович,1949-02-07
,Святослава,Москаль,Назарівна,2016-01-29
,Марʼяна,Верменич,Ігорівна,1943-09-14
,Розалія,Шведченко,Марківна,1978-09-10
,Емілія,Іщенко,Богданівна,1993-05-29
,Артем,Мірошниченко,Михайлович,1933-07-03
,Костянтин,Влох,Орестович,1925-06-17
,Розалія,Ільєнко,Симонівна,1971-07-25
,Наталія,Шеремет,Орестівна,1982-01-15
,Богданна,Запорожець,Богуславівна,1975-08-25
,Оксенія,Данчук,Леонідівна,1943-01-12
,Камілла,Батуринець,Владиславівна,1926-07-22
,Орина,Смик,Єлисеївна,1956-05-18
,Пріска,Редько,Романівна,1938-11-21
,Макар,Свистун,Остапович,2018-02-28
,Лукʼян,Єресько,Адамович,1958-05-05
,Євген,Рябець,Ярославівна,1945-09-04
,Марко,Швайка,Мирославович,1946-05-14
,Камілла,Зінчук,Семенівна,1970-03-10
,Валентин,Колодуб,Вадимович,1960-11-09
,Пантелеймон,Ґерета,Панасівна,1940-01-02
,Надія,Акуленко,Орхипівна,1995-03-14
,Ярослава,Калениченко,Марківна,2023-11-02
,Володимир,Фесенко,Бориславівна,1989-08-30
,Святослав,Шморгун,Захарович,2020-08-20
,Ярема,Товстуха,Володимирівна,1976-06-17
,Камілла,Жученко,Омелянівна,2000-12-22
,Тимофій,Данильчук,Азарович,1975-05-16
,Тереза,Корж,Трохимівна,2001-05-17
,Розалія,Конопленко,Микитівна,1974-02-13
,Станіслав,Дубина,Демидівна,1997-06-28
,Віталій,Жадан,Русланович,1962-05-29
,Тереза,Ґжицька,Владиславівна,2003-02-28
,Віолетта,Ющенко,Богуславівна,1946-09-01
,Віолетта,Шило,Богодарівна,1936-04-19
,Омелян,Бараник,Зиновійович,1960-06-27
,Євген,Баранець,Святославович,1983-06-17
,Ростислав,Авраменко,Єфремович,1945-06-04
,Федір,Дробʼязко,Миколайович,1991-12-05
,Тетяна,Цісик,Леонідівна,2010-02-11
,Антон,Данченко,Віталіївна,1943-12-01
,Мартин,Приймак,Олександрівна,1944-05-18
,Алла,Зайченко,Юхимівна,2015-12-02
,Гаврило,Шеремета,Пантелеймонович,1929-09-27
,Адам,Остапчук,Демʼянович,1933-07-02
,Богданна,Мамчур,Ростиславівна,1996-04-27
,Борис,Іваничук,Ігорівна,2021-03-18
,Олекса,Ірванець,Леопольдівна,1934-02-25
,Ілля,Василашко,Бориславович,1944-09-29
,Ігор,Ващенко-Захарченко,Ааронівна,1942-10-06
,Богодар,Туркало,Микитович,1988-08-05
,Михайлина,Романчук,Феофанівна,2019-03-20
,Оксенія,Фесенко,Олегівна,1942-11-17
,Леон,Ніколюк,Теодорович,1958-10-25
,Христина,Артюх,Ростиславівна,1947-05-25
,Валентин,Лесик,Стефанівна,1954-01-31
,Аліна,Бабʼюк,Демʼянівна,2022-01-20
,Опанас,Шведченко,Демʼянович,2021-07-11
,Алла,Хомик,Богуславівна,1933-09-14
,Сергій,Жадан,Францівна,1995-01-27
,Святослав,Гайдабура,Ігнатівна,1938-08-25
,Георгій,Коваленко,Трохимович,1942-08-19
,Опанас,Івасюк,Стефанівна,2015-11-11
,Ярослав,Джус,Мартинович,2010-04-07
,Аврелій,Сиротенко,Григоріївна,2015-04-13
,Надія,Шовкопляс,Яремівна,2004-03-22
,Марʼяна,Гайдабура,Марківна,1989-11-21
,Леопольд,Шутько,Зиновійович,1971-08-19
,Ярослав,Матвієнко,Леопольдович,1956-02-25
,Камілла,Алексійчук,Богданівна,1978-02-06
,Павло,Бабариченко,Віталіївна,1930-03-22
,Пріска,Чуприна,Стефанівна,1932-11-26
,Амалія,Верхола,Кирилівна,1934-12-14
,Миколай,Смик,Андрійович,1945-09-08
,Ада,Смик,Опанасівна,1979-06-27
,Охрім,Конопля,Леонідович,1956-10-19
,Гліб,Вишняк,Тарасович,1971-10-25
,Борислав,Терещук,Аркадійович,1991-09-23
,Марія,Рудик,Володимирівна,1969-11-12
,Амалія,Андріїшин,Спасівна,1985-09-26
,Пріска,Башполченко,Альбертівна,2021-08-07
,Федір,Гресь,Прохорович,1948-07-31
,Леонтій,Фаренюк,Вікторович,2014-05-02
,Оксана,Барабаш,Арсенівна,1996-08-31
,Ганна,Бандурка,Валентинівна,2016-06-02
,Валентина,Яремчук,Мирославівна,1934-06-22
,Оксана,Гавришкевич,Азарівна,2022-07-02
,Аліна,Ірванець,Семенівна,1986-09-20
,Геннадій,Базавлученко,Азарівна,1925-02-28
,Арсен,Проценко,Макарівна,1935-12-27
,Мартин,Дутка,Георгіївна,2007-02-04
,Олекса,Бабко,Мирославівна,2000-07-01
,Тетяна,Андрощук,Бориславівна,2002-01-16
,Ада,Притула,Владиславівна,2013-11-21
,Ярина,Алексеєнко,Юстимівна,2012-12-17
,Валентина,Ісаєнко,Мирославівна,1935-08-29
,Мирон,Баранець,Володимирович,1964-11-04
,Давид,Охріменко,Соломонович,1949-02-24
,Тетяна,Зінченко,Станіславівна,1966-07-18
,Пармен,Забіла,Романович,1951-11-07
,Леонід,Аверченко,Тимофіївна,1927-04-18
,Олег,Шморгун,Миколаївна,1967-01-08
,Сергій,Шутько,Францівна,1995-06-20
,Лариса,Бгиденко,Мартинівна,2009-06-26
,Леонтій,Вакарчук,Віталіївна,1948-03-28
,Сніжана,Височан,Дмитріївна,1932-08-11
,Яків,Носаченко,Михайлович,2002-03-02
,Герман,Забашта,Прохорівна,1982-08-26
,Вікторія,Засенко,Орхипівна,1935-12-10
,Максим,Влох,Захарович,1975-06-23
,Юстим,Зінченко,Сергійович,1960-04-19
,Панас,Забара,Михайлівна,1926-10-01
,Климент,Левченко,Миколаївна,1993-01-07
,Лукʼян,Гайдабура,Гаврилович,1933-02-05
,Андрій,Перебийніс,Кирилович,1979-12-04
,Анжела,Непорожній,Пантелеймонівна,2022-05-05
,Людмила,Штепа,Орхипівна,1959-12-09
,Назар,Дахно,Мартинович,1939-07-05
,Орхип,Запорожець,Геннадійович,1961-03-21
,Алевтин,Баран,Данівна,1940-01-29
,Богуслава,Литвин,Лукʼянівна,1993-07-23
,Олександр,Дуплій,Мартинівна,1976-08-09
,Світлана,Сомко,Пантелеймонівна,1939-04-08
,Ліза,Сич,Омелянівна,1989-09-27
,Герман,Єресько,Владиславівна,1964-04-09
,Остап,Голобородько,Яковович,2007-12-21
,Стефан,Дзюба,Борисівна,1976-06-13
,Ада,Андрусенко,Семенівна,1952-12-01
,Мартин,Валенко,Вадимович,1995-05-18
,Демид,Ємець,Антонівна,2012-11-06
,Мартин,Бараник,Богданівна,1925-06-14
,Захар,Шахрай,Богуславівна,2022-07-30
,Галина,Жук,Мартинівна,2009-08-14
,Трохим,Шеремета,Климентович,2013-07-31
,Пантелеймон,Приходько,Тимофіївна,1932-12-03
,Аврелій,Жарко,Симонович,2002-07-02
,Михайлина,Сич,Альбертівна,1995-12-05
,Арсен,Ажажа,Венедиктович,1964-02-01
,Вікторія,Андрієнко,Едуардівна,1975-07-18
,Борислав,Гриценко,Віталійович,2000-04-29
,Леон,Хорішко,Марківна,1982-07-31
,Алевтин,Вишняк,Юхимівна,2020-03-14
,Гліб,Вакарчук,Владиславович,1973-10-24
,Ганна,Абрагамовська,Федорівна,1954-01-06
,Віолетта,Парасюк,Спасівна,2021-11-05
,Марта,Дзюба,Олександрівна,1931-07-04
,Марта,Балабан,Леопольдівна,1926-01-16
,Богодар,Корбут,Андрійович,1987-02-04
,Маруся,Сич,Петрівна,1932-05-02
,Марія,Бебешко,Владиславівна,2014-02-13
,Єлисавета,Жук,Святославівна,1954-03-03
,Геннадій,Демʼяненко,Венедиктович,2000-08-27
,Гаврило,Артеменко,Михайлівна,1949-03-20
,Андрій,Романець,Романівна,1975-03-11
,Віолетта,Тичина,Германівна,2006-10-14
,Василина,Петрик,Мартинівна,1965-06-03
,Ганна,Лемешко,Артемівна,1945-03-13
,Трохим,Безбородько,Бориславович,1982-06-12
,Давид,Рябченко,Стефанович,1924-07-28
,Христина,Ільєнко,Аркадіївна,1973-07-28
,Віолетта,Василевич,Ярославівна,1976-08-30
,Вікторія,Мірошниченко,Прохорівна,1937-10-07
,Любов,Верхола,Валеріївна,2022-12-03
,Августин,Величко,Глібович,1972-07-15
,Семен,Євтушенко,Костянтинівна,1937-05-24
,Захар,Бабич,Яремович,1939-03-30
,Анжела,Кириленко,Йосипівна,1959-12-31
,Яків,Базавлученко,Олегівна,1938-10-07
,Віктор,Коваленко,Леопольдович,2013-11-03
,Олег,Асаула,Ігнатівна,1965-03-23
,Світлана,Вівчаренко,Кирилівна,2010-05-05
,Одарка,Гаврилів,Зорянівна,1970-06-14
,Богодар,Заруба,Кирилович,2007-12-12
,Ірина,Іваничук,Яремівна,1991-07-16
,Роксолана,Черненко,Артемівна,2021-12-15
,Людмила,Швачка,Михайлівна,1960-11-26
,Сергій,Матяш,Станіславович,2012-05-22
,Варвара,Ніколюк,Альбертівна,1958-03-01
,Оксенія,Юрчишин,Геннадіївна,1988-11-13
,Розалія,Ейбоженко,Георгіївна,2016-10-02
,Марта,Ємельяненко,Володимирівна,1983-02-26
,Варвара,Дараган,Мартинівна,1970-11-22
,Гаврило,Удовенко,Миронович,2000-04-06
,Данна,Петрик,Семенівна,1925-09-08
,Азар,Зарудна,Русланович,1931-04-26
,Азар,Александренко,Георгійович,1946-03-22
,Едита,Артюх,Тарасівна,1968-08-27
,Олександр,Байрак,Давидович,2008-07-25
,Марта,Бабенко,Альбертівна,1938-08-22
,Анжела,Джус,Юхимівна,1963-02-21
,Мілена,Овчаренко,Едуардівна,1930-01-27
,Ірина,Александренко,Богодарівна,2018-03-20
,Одарка,Бабак,Германівна,1971-12-06
,Мілена,Лазаренко,Йосипівна,1993-03-30
,Опанас,Усик,Венедиктович,1940-08-21
,Ігор,Щербань,Юхимівна,1999-01-26
,Сергій,Приходько,Леонідівна,1984-08-26
,Тимофій,Гриценко,Геннадіївна,1999-05-10
,Галина,Демʼянчук,Леонтіївна,1939-10-29
,Надія,Дурдинець,Леонтіївна,1949-06-19
,Михайло,Гайдабура,Остапович,1996-04-09
,Віра,Романець,Кирилівна,1957-04-15
,Ірина,Андріїшина,Демʼянівна,2017-09-05
,Богодар,Жаліло,Кирилович,1947-01-25
,Еріка,Даниленко,Григоріївна,1957-10-05
,Ірена,Дрозд,Богданівна,1961-06-15
,Тетяна,Салій,Пилипівна,1998-05-05
,Євген,Зінченко,Демидівна,1955-01-11
,Єлисавета,Гаєвський,Романівна,1945-11-23
,Єва,Запорожець,Мирославівна,1937-11-08
,Костянтин,Романенко,Аркадійович,1998-07-18
,Азар,Скирда,Азарович,1950-05-13
,Софія,Литвин,Пилипівна,1935-03-26
,Дарина,Михайличенко,Йосипівна,1932-09-26
,Аніта,Вітер,Устимівна,1995-03-31
,Ірина,Вакуленко,Максимівна,2000-12-17
,Богдан,Жайворон,Вʼячеславович,1943-03-31
,Теодор,Іващенко,Федорівна,2007-11-09
,Лілія,Гайдай,Єлисеївна,2014-05-13
,Устим,Бандурка,Іванівна,1970-07-21
,Ігнат,Свириденко,Юхимівна,1942-07-10
,Хома,Непорожній,Леонтіївна,1940-06-26
,Олена,Абраменко,Панасівна,1925-12-04
,Розалія,Заїка,Степанівна,1994-03-19
,Альбіна,Овсієнко,Федорівна,1950-10-02
,Юстина,Карась,Євгенівна,2003-04-10
,Болеслав,Ільченко,Макарівна,1999-07-25
,Теодор,Затовканюк,Юхимович,1945-11-28
,Аврелій,Шеремет,Венедиктович,2011-08-16
,Роксолана,Дубас,Леонідівна,2008-08-09
,Богуслава,Вергун,Амвросійовна,1953-11-13
,Алевтин,Адамчук,Олегівна,1948-08-17
,Клавдія,Рудик,Адамівна,2008-09-27
,Марина,Ващук,Устимівна,1976-10-27
,Руслан,Верес,Бориславович,1953-12-08
,Левко,Андріїшин,Іванівна,2009-07-02
,Розалія,Засуха,Владиславівна,1925-05-28
,Сніжана,Шутько,Францівна,1980-02-15
,Христина,Єременко,Вадимівна,2023-06-27
,Святослава,Шаблій,Азарівна,1984-07-16
,Маруся,Притула,Семенівна,1925-06-15
,Герман,Зінкевич,Венедиктович,2003-01-10
,Борислав,Масоха,Данівна,2021-04-17
,Ярослава,Захаренко,Леопольдівна,2012-04-22
,Галина,Шевченко,Йосипівна,1935-06-05
,Зорян,Вітер,Климентович,2004-09-05
,Охрім,Чумак,Пилипович,1967-01-26
,Ліза,Александренко,Яремівна,1993-06-27
,Богодар,Редько,Лукʼянович,1982-09-08
,Віра,Романенко,Степанівна,1935-01-28
,Ада,Дерегус,Азарівна,2014-12-24
,Оксана,Сомко,Єлисеївна,1994-07-22
,Опанас,Конопля,Стефанович,1938-10-12
,Емілія,Шморгун,Йосипівна,1949-07-03
,Віталій,Єременко,Климентович,1930-11-08
,Богуслава,Кириленко,Прохорівна,1930-03-10
,Лариса,Шаблій,Геннадіївна,1947-11-07
,Вікторія,Лагода,Соломонівна,1961-05-30
,Клавдія,Шинкаренко,Євгенівна,1961-07-17
,Ліза,Перебийніс,Святославівна,2016-09-14
,Мартин,Чумак,Трохимівна,2006-01-27
,Мирослав,Короленко,Єлисеївна,2006-06-29
,Клавдія,Свириденко,Іванівна,2017-07-07
,Сергій,Гуцуляк,Гаврилівна,1955-02-14
,Златослава,Перепелиця,Іллівна,1927-08-19
,Миколай,Демʼянчук,Артемович,1989-11-07
,Єва,Ватаманюк,Гаврилівна,1957-04-02
,Марина,Гавришкевич,Сергіївна,1970-06-19
,Аарон,Байдак,Ааронівна,1924-10-26
,Камілла,Данькевич,Олегівна,1966-06-06
,Емілія,Ящук,Тимофіївна,1977-01-12
,Орина,Тимченко,Пилипівна,2006-12-27
,Єлисавета,Ґерета,Русланівна,1960-09-13
,Амалія,Лагода,Миколаївна,1954-12-23
,Анжела,Чміль,Артемівна,1927-09-29
,Сніжана,Гук,Андріївна,1980-03-09
,Галина,Рябченко,Несторівна,1947-02-03
,Онисим,Верменич,Геннадійович,2016-02-14
,Гліб,Данько,Альбертович,1945-04-19
,Августин,Лагода,Кирилович,1937-04-28
,Людмила,Оліфіренко,Вадимівна,1951-04-16
,Володимир,Штепа,Аркадіївна,1937-09-29
,Сніжана,Журавель,Назарівна,1941-01-10
,Роман,Короленко,Олександрович,2014-01-24
,Георгій,Єсипенко,Гаврилович,1924-05-16
,Клавдія,Яценюк,Назарівна,1934-02-09
,Борислав,Христенко,Юхимович,1987-05-14
,Тереза,Медведенко,Августинівна,1942-10-20
,Валентина,Малишко,Болеславівна,1951-03-25
,Аврелій,Андрійович,Стефанович,1957-07-25
,Остап,Кибкало,Ігорівна,1972-07-06
,Галина,Носенко,Устимівна,1940-03-18
,Алла,Лесик,Степанівна,1957-02-05
,Болеслав,Балабан,Венедиктович,1977-12-28
,Ярослав,Терещук,Ааронович,1991-02-17
,Венедикт,Чарниш,Ігнатівна,1953-04-28
,Клавдія,Хмара,Демидівна,2011-09-21
,Остап,Височан,Соломонович,1969-10-29
,Франц,Ватаманюк,Єфремович,1954-10-14
,Макар,Калениченко,Соломонівна,2022-12-28
,Марина,Базилевська,Іванівна,1934-08-23
,Світлана,Бандера,Борисівна,1985-09-15
,Альбіна,Шелест,Прохорівна,1984-01-03
,Азар,Колесниченко,Гордійович,1928-05-21
,Марина,Андрієнко,Стефанівна,2012-06-17
,Омелян,Фурс,Валерійович,1958-12-11
,Віра,Зінкевич,Веніяминівна,1928-08-23
,Анжела,Орлик,Михайлівна,1985-11-15
,Демид,Джус,Августинович,1930-06-02
,Августин,Франчук,Аркадійович,2016-10-03
,Леон,Саченко,Юхимівна,2015-08-21
,Степан,Яремко,Амвросійовна,1975-04-15
,Розалія,Бгиденко,Юстимівна,1926-09-21
,Назар,Червоненко,Глібович,1955-09-23
,Ігор,Дейсун,Азарович,1945-06-14
,Михайло,Мірошниченко,Олексович,1945-02-24
,Василь,Цюпа,Олександрівна,1979-10-07
,Лілія,Чорновіл,Леонідівна,1936-07-20
,Михайлина,Засенко,Олегівна,1942-12-02
,Віра,Непорожній,Борисівна,2019-04-07
,Ада,Бевз,Єлисеївна,1980-02-12
,Ада,Гайдай,Юстимівна,2002-10-18
,Ада,Пелех,Іллівна,2005-01-14
,Лариса,Закусило,Володимирівна,1954-08-31
,Сніжана,Рева,Вадимівна,1962-08-12
,Орися,Гаврилюк,Симонівна,1940-07-05
,Сніжана,Радченко,Микитівна,1982-06-28
,Соломія,Тесленко,Варфоломіївна,1975-08-31
,Степан,Ажажа,Макарович,1943-10-22
,Трохим,Шинкаренко,Орестівна,1965-08-31
,Тереза,Данчук,Андріївна,1942-11-14
,Назар,Удовиченко,Климентівна,1937-04-28
,Марко,Архипенко,Іллівна,2018-10-26
,Світлана,Колісниченко,Ігнатівна,2008-07-27
,Володимир,Лагода,Петрівна,1994-04-26
,Пантелеймон,Пелех,Азарівна,1960-11-01
,Владислав,Гунько,Захарівна,2002-10-30
,Владислав,Левченко,Святославівна,1941-12-26
,Дан,Орлик,Федорівна,1950-07-17
,Марʼяна,Романець,Тимофіївна,2008-12-13
,Арсен,Конопленко,Борисович,1999-09-19
,Андрій,Матяш,Валерійович,1995-01-11
,Тарас,Євдокименко,Опанасівна,1975-05-27
,Тереза,Литвин,Сергіївна,1938-03-30
,Оксенія,Архимович,Давидівна,1987-03-25
,Ірина,Пушкар,Іллівна,1979-04-18
,Володимир,Валенко,Григоріївна,1994-03-18
,Віолетта,Чарниш,Лесівна,1960-09-29
,Олена,Іваничук,Азарівна,1951-12-03
,Алла,Башполченко,Алевтинівна,1976-10-26
,Одарка,Карась,Юстимівна,1927-10-11
,Єва,Масляк,Геннадіївна,2008-07-06
,Еріка,Прокопович,Валентинівна,1929-05-12
,Софія,Єщенко,Глібівна,1983-03-18
,Михайло,Бабенко,Богуславович,1945-01-19
,Емілія,Редько,Богуславівна,1960-07-26
,Петро,Ященко,Адамович,2002-08-23
,Єлисей,Лемешко,Ааронівна,2021-10-31
,Прохір,Михайлюк,Климентівна,1926-08-12
,Любов,Худобʼяк,Вʼячеславівна,2009-12-27
,Амалія,Закусило,Варфоломіївна,1969-05-07
,Ілля,Оберемко,Леонідівна,1992-01-19
,Адам,Луценко,Аврелійовна,2016-05-15
,Василина,Цимбалюк,Францівна,1970-02-24
,Єва,Батуринець,Демидівна,1926-11-02
,Олена,Дрозденко,Владиславівна,1939-11-17
,Антон,Василечко,Панасович,1950-09-01
,Златослава,Іващенко,Орхипівна,1989-07-01
,Вʼячеслав,Авдєєнко,Валентинович,1991-04-30
,Леон,Цюпа,Венедиктівна,1971-06-10
,Валентин,Захарченко,Валеріївна,1990-08-12
